Feels Like Home,Norah Jones,2004,https://www.discogs.com/master/102290,"Folk, World, & Country|Jazz",Contemporary Jazz|Country
MM..Food,MF Doom,2004,https://www.discogs.com/master/8478,Hip Hop,Conscious
The Mouse And The Mask,Danger Doom,2005,https://www.discogs.com/master/69451,Electronic|Hip Hop,Experimental
Occult Hymn,Danger Doom,2006,https://www.discogs.com/master/237212,Electronic|Hip Hop,Conscious|Experimental
Good Girl Gone Bad,Rihanna,2007,https://www.discogs.com/master/20387,Electronic|Funk / Soul|Hip Hop|Pop|Rock,Ballad|Contemporary R&B|Dance-pop|Europop|Pop Rock|RnB/Swing
Stars Of The Lid And Their Refinement Of The Decline,Stars Of The Lid,2007,https://www.discogs.com/master/9874,Electronic,Ambient|Drone|Modern Classical
808s & Heartbreak,Kanye West,2008,https://www.discogs.com/master/8489,Electronic|Hip Hop|Pop,Experimental
Born Like This,MF Doom,2009,https://www.discogs.com/master/51121,Hip Hop,
The Fall,Norah Jones,2009,https://www.discogs.com/master/207392,Blues|Rock,Pop Rock
Unexpected Guests,MF Doom,2009,https://www.discogs.com/master/202425,Hip Hop,
Goblin,"Tyler, The Creator",2011,https://www.discogs.com/master/334758,Hip Hop,Hardcore Hip-Hop
Section 80,Kendrick Lamar,2011,https://www.discogs.com/master/547891,Hip Hop,Conscious
Watch The Throne,"Jay-Z, Kanye West",2011,https://www.discogs.com/master/361232,Hip Hop,Pop Rap
...Little Broken Hearts,Norah Jones,2012,https://www.discogs.com/master/431975,"Folk, World, & Country|Pop|Rock",Folk|Indie Pop|Psychedelic Rock
Key To The Kuffs,JJ DOOM,2012,https://www.discogs.com/master/463478,Electronic|Hip Hop,Leftfield
The OF Tape Vol. 2,Odd Future,2012,https://www.discogs.com/master/425556,Hip Hop,Hardcore Hip-Hop
Sailorwave,マクロスMacross 82-99,2013,https://www.discogs.com/master/1224336,Electronic,Vaporwave
The Electric Lady,Janelle Monáe,2013,https://www.discogs.com/master/595570,Funk / Soul|Hip Hop|Pop|Rock,Funk|Neo Soul|RnB/Swing
Wolf,"Tyler, The Creator",2013,https://www.discogs.com/master/546979,Hip Hop,Bass Music|Hardcore Hip-Hop
Yours Truly,Ariana Grande,2013,https://www.discogs.com/master/593431,Hip Hop|Pop,RnB/Swing
Bookhead EP,JJ DOOM,2014,https://www.discogs.com/master/1189974,Hip Hop,
My Everything,Ariana Grande,2014,https://www.discogs.com/master/723794,Electronic|Hip Hop|Pop,Ballad|Europop|Pop Rap|RnB/Swing
NehruvianDOOM (Sound Of The Son),NehruvianDOOM,2014,https://www.discogs.com/master/741082,Hip Hop,
Born In The Echoes,The Chemical Brothers,2015,https://www.discogs.com/master/861123,Electronic,Breakbeat|Electro
CHAM!,マクロスMACROSS 82-99,2015,https://www.discogs.com/master/1291955,Electronic|Funk / Soul,House|Nu-Disco|Vaporwave
Cherry Bomb,"Tyler, The Creator",2015,https://www.discogs.com/master/825518,Funk / Soul|Hip Hop,
Live From The Dentist Office,Injury Reserve,2015,https://www.discogs.com/master/1244717,Hip Hop,
American Boyfriend: A Suburban Love Story,Kevin Abstract,2016,https://www.discogs.com/master/1283826,Funk / Soul|Hip Hop|Pop,Conscious|Contemporary R&B|Indie Pop|Pop Rap
