Hit Vibes,Saint Pepsi,2013,https://www.discogs.com/master/710738,Electronic|Funk / Soul,Disco|Downtempo|Funk|House|Synth-pop|Synthwave
Rollergirl,Rollergirl!,2013,https://www.discogs.com/release/9992339,Electronic|Funk / Soul,Nu-Disco|Vaporwave
A Million Miles Away,マクロスMacross 82-99,2014,https://www.discogs.com/master/1208197,Electronic,House|Vaporwave
Bae,Yung Bae,2014,https://www.discogs.com/master/1373409,Electronic|Pop,Disco|Vaporwave
Pure Pure,Moe Shop,2015,https://www.discogs.com/master/1450260,Funk / Soul,
Waterbed,Tendencies,2015,https://www.discogs.com/release/7727891,Electronic,Disco|Vaporwave
Split EP,"スーパーセックス永遠にSUPERSEX420, Tendencies",2019,https://www.discogs.com/master/867941,Electronic,Disco|Nu-Disco|Vaporwave
